@relation transfusion
@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute T numeric
@attribute a {positive,negative}

@data
2,3,750,16,positive
4,5,1250,26,positive
2,6,1500,41,positive
2,5,1250,33,positive
2,4,1000,26,negative
2,5,1250,34,negative
4,8,2000,46,positive
2,4,1000,26,negative
4,8,2000,48,positive
2,2,500,10,positive
4,5,1250,28,negative
2,12,3000,95,negative
2,2,500,10,negative
4,6,1500,35,negative
2,11,2750,88,negative
2,3,750,19,negative
2,5,1250,37,negative
2,12,3000,98,negative
9,5,1250,19,negative
2,2,500,11,negative
2,9,2250,74,negative
5,14,3500,86,negative
4,3,750,16,negative
4,3,750,16,negative
4,2,500,9,positive
4,3,750,16,positive
6,3,750,14,negative
2,2,500,11,negative
2,2,500,11,positive
2,2,500,11,negative
2,7,1750,58,positive
4,6,1500,39,negative
4,11,2750,78,negative
2,1,250,2,positive
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,positive
2,1,250,2,positive
2,1,250,2,positive
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
11,10,2500,35,negative
11,4,1000,16,positive
4,5,1250,33,positive
4,6,1500,41,positive
2,3,750,22,negative
4,4,1000,26,positive
10,4,1000,16,negative
2,4,1000,35,negative
4,12,3000,88,negative
13,8,2000,26,negative
11,9,2250,33,negative
4,5,1250,34,negative
4,4,1000,26,negative
8,15,3750,77,negative
4,5,1250,35,positive
4,7,1750,52,negative
4,7,1750,52,negative
2,4,1000,35,negative
11,11,2750,42,negative
2,2,500,14,negative
2,5,1250,47,positive
9,8,2000,38,positive
4,6,1500,47,negative
11,7,1750,29,negative
9,9,2250,45,negative
4,6,1500,52,negative
4,7,1750,58,negative
6,2,500,11,positive
4,7,1750,58,negative
11,9,2250,38,negative
11,6,1500,26,negative
2,2,500,16,negative
2,7,1750,76,negative
11,6,1500,27,negative
11,3,750,14,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,positive
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,positive
4,1,250,4,positive
4,1,250,4,negative
4,1,250,4,positive
4,1,250,4,positive
4,1,250,4,negative
4,3,750,24,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,positive
4,1,250,4,negative
10,8,2000,39,negative
14,7,1750,26,negative
8,10,2500,63,negative
11,3,750,15,negative
4,2,500,14,negative
2,4,1000,43,negative
8,9,2250,58,negative
8,8,2000,52,positive
11,22,5500,98,negative
4,3,750,25,positive
11,17,4250,79,positive
9,2,500,11,negative
4,5,1250,46,negative
11,12,3000,58,negative
7,12,3000,86,negative
11,2,500,11,negative
11,2,500,11,negative
11,2,500,11,negative
2,6,1500,75,negative
11,8,2000,41,positive
11,3,750,16,positive
12,13,3250,59,negative
2,3,750,35,negative
16,8,2000,28,negative
11,7,1750,37,negative
4,3,750,28,negative
12,12,3000,58,negative
4,4,1000,41,negative
11,14,3500,73,positive
2,2,500,23,negative
2,3,750,38,positive
4,5,1250,58,negative
4,4,1000,43,positive
3,2,500,23,negative
11,8,2000,46,negative
4,7,1750,82,negative
13,4,1000,21,negative
16,11,2750,40,negative
16,7,1750,28,negative
7,2,500,16,negative
4,5,1250,58,negative
4,5,1250,58,negative
4,4,1000,46,negative
14,13,3250,57,negative
4,3,750,34,negative
14,18,4500,78,negative
11,8,2000,48,negative
14,16,4000,70,negative
14,4,1000,22,positive
14,5,1250,26,negative
8,2,500,16,negative
11,5,1250,33,negative
11,2,500,14,negative
4,2,500,23,negative
9,2,500,16,positive
14,5,1250,28,positive
14,3,750,19,positive
14,4,1000,23,positive
16,12,3000,50,negative
11,4,1000,28,negative
11,5,1250,35,negative
11,5,1250,35,negative
2,4,1000,70,negative
14,5,1250,28,negative
14,2,500,14,negative
14,2,500,14,negative
14,2,500,14,negative
14,2,500,14,negative
14,2,500,14,negative
14,2,500,14,negative
2,3,750,52,negative
14,6,1500,34,negative
11,5,1250,37,positive
4,5,1250,74,negative
11,3,750,23,negative
16,4,1000,23,negative
16,3,750,19,negative
11,5,1250,38,negative
11,2,500,16,negative
12,9,2250,60,negative
9,1,250,9,negative
9,1,250,9,negative
4,2,500,29,negative
11,2,500,17,negative
14,4,1000,26,negative
11,9,2250,72,positive
11,5,1250,41,negative
15,16,4000,82,negative
9,5,1250,51,positive
11,4,1000,34,negative
14,8,2000,50,positive
16,7,1750,38,negative
14,2,500,16,negative
2,2,500,41,negative
14,16,4000,98,negative
14,4,1000,28,positive
16,7,1750,39,negative
14,7,1750,47,negative
16,6,1500,35,negative
16,6,1500,35,positive
11,7,1750,62,positive
16,2,500,16,negative
16,3,750,21,positive
11,3,750,28,negative
11,7,1750,64,negative
11,1,250,11,positive
9,3,750,34,negative
14,4,1000,30,negative
23,38,9500,98,negative
11,6,1500,58,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,2,500,21,negative
11,5,1250,50,negative
11,2,500,21,negative
16,4,1000,28,negative
4,2,500,41,negative
16,6,1500,40,negative
14,3,750,26,negative
9,2,500,26,negative
21,16,4000,64,negative
14,6,1500,51,negative
11,2,500,24,negative
4,3,750,71,negative
21,13,3250,57,negative
11,6,1500,71,negative
14,2,500,21,positive
23,15,3750,57,negative
14,4,1000,38,negative
11,2,500,26,negative
16,5,1250,40,positive
4,2,500,51,positive
14,3,750,31,negative
4,2,500,52,negative
9,4,1000,65,negative
14,4,1000,40,negative
11,3,750,40,positive
14,5,1250,50,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,7,1750,72,negative
14,1,250,14,negative
14,1,250,14,negative
9,3,750,52,negative
14,7,1750,73,negative
11,4,1000,58,negative
11,4,1000,59,negative
4,2,500,59,negative
11,4,1000,61,negative
16,4,1000,40,negative
16,10,2500,89,negative
21,2,500,21,positive
21,3,750,26,negative
16,8,2000,76,negative
21,3,750,26,positive
18,2,500,23,negative
23,5,1250,33,negative
23,8,2000,46,negative
16,3,750,34,negative
14,5,1250,64,negative
14,3,750,41,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,4,1000,45,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,2,500,26,negative
21,2,500,23,negative
16,2,500,27,negative
21,2,500,23,negative
21,2,500,23,negative
14,4,1000,57,negative
16,5,1250,60,negative
23,2,500,23,negative
14,5,1250,74,negative
23,3,750,28,negative
16,3,750,40,negative
9,2,500,52,negative
9,2,500,52,negative
16,7,1750,87,positive
14,4,1000,64,negative
14,2,500,35,negative
16,7,1750,93,negative
21,2,500,25,negative
14,3,750,52,negative
23,14,3500,93,negative
18,8,2000,95,negative
16,3,750,46,negative
11,3,750,76,negative
11,2,500,52,negative
11,3,750,76,negative
23,12,3000,86,negative
21,3,750,35,negative
23,2,500,26,negative
23,2,500,26,negative
23,8,2000,64,negative
16,3,750,50,negative
23,3,750,33,negative
21,3,750,38,negative
23,2,500,28,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,negative
21,1,250,21,positive
21,1,250,21,negative
21,1,250,21,negative
21,5,1250,60,negative
23,4,1000,45,negative
21,4,1000,52,negative
22,1,250,22,positive
11,2,500,70,negative
23,5,1250,58,negative
23,3,750,40,negative
23,3,750,41,negative
14,3,750,83,negative
21,2,500,35,negative
26,5,1250,49,positive
23,6,1500,70,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,4,1000,53,negative
21,6,1500,86,negative
23,3,750,48,negative
21,2,500,41,negative
21,3,750,64,negative
16,2,500,70,negative
21,3,750,70,negative
23,4,1000,87,negative
23,3,750,89,negative
23,2,500,87,negative
35,3,750,64,negative
38,1,250,38,negative
38,1,250,38,negative
40,1,250,40,negative
74,1,250,74,negative
2,43,10750,86,positive
6,22,5500,28,positive
2,34,8500,77,positive
2,44,11000,98,negative
0,26,6500,76,positive
2,41,10250,98,positive
3,21,5250,42,positive
2,11,2750,23,negative
2,21,5250,52,positive
2,13,3250,32,positive
4,4,1000,4,positive
2,11,2750,26,negative
2,11,2750,28,negative
3,14,3500,35,negative
4,16,4000,38,positive
4,6,1500,14,negative
3,5,1250,12,positive
4,33,8250,98,positive
3,10,2500,33,positive
4,10,2500,28,positive
2,11,2750,40,positive
2,11,2750,41,positive
4,13,3250,39,positive
1,10,2500,43,positive
4,9,2250,28,negative
2,4,1000,11,negative
2,5,1250,16,positive
2,15,3750,64,negative
5,24,6000,79,negative
2,6,1500,22,positive
4,5,1250,16,positive
2,4,1000,14,positive
4,8,2000,28,negative
2,4,1000,14,negative
2,6,1500,26,negative
4,5,1250,16,positive
2,7,1750,32,positive
2,6,1500,26,positive
2,8,2000,38,positive
2,2,500,4,positive
2,6,1500,28,positive
2,10,2500,52,negative
4,16,4000,70,positive
4,2,500,4,positive
1,14,3500,95,negative
4,2,500,4,positive
7,14,3500,48,negative
2,3,750,11,negative
2,12,3000,70,positive
4,7,1750,32,positive
4,4,1000,16,negative
2,6,1500,35,positive
4,6,1500,28,positive
2,3,750,14,negative
2,4,1000,23,negative
4,4,1000,18,negative
5,6,1500,28,negative
4,6,1500,30,negative
14,5,1250,14,negative
3,8,2000,50,negative
4,11,2750,64,positive
4,9,2250,52,negative
4,16,4000,98,positive
7,10,2500,47,negative
4,14,3500,86,negative
2,9,2250,75,negative
4,6,1500,35,negative
4,9,2250,55,negative
4,6,1500,35,positive
2,6,1500,45,negative
2,6,1500,47,negative
4,2,500,9,negative
2,2,500,11,positive
2,2,500,11,negative
2,2,500,11,positive
4,6,1500,38,positive
3,4,1000,29,positive
9,9,2250,38,negative
11,5,1250,18,negative
2,3,750,21,negative
2,1,250,2,negative
2,1,250,2,positive
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,positive
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
2,1,250,2,negative
11,11,2750,38,negative
2,3,750,22,negative
9,11,2750,49,positive
5,11,2750,75,negative
3,5,1250,38,negative
3,1,250,3,positive
4,6,1500,43,negative
2,3,750,24,negative
12,11,2750,39,negative
2,2,500,14,negative
4,6,1500,46,negative
9,3,750,14,negative
14,8,2000,26,negative
4,2,500,13,negative
4,11,2750,95,negative
2,7,1750,77,negative
2,7,1750,77,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,positive
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,negative
4,1,250,4,positive
4,1,250,4,negative
4,7,1750,62,negative
4,1,250,4,negative
4,4,1000,34,positive
11,6,1500,28,negative
13,3,750,14,positive
7,5,1250,35,negative
9,9,2250,54,negative
11,2,500,11,negative
2,5,1250,63,negative
7,11,2750,89,negative
8,9,2250,64,negative
2,2,500,22,negative
6,3,750,26,negative
12,15,3750,71,negative
13,3,750,16,negative
11,16,4000,89,negative
4,5,1250,58,negative
14,7,1750,35,negative
11,4,1000,27,negative
7,9,2250,89,positive
11,8,2000,52,positive
7,5,1250,52,negative
11,6,1500,41,negative
10,5,1250,38,negative
14,2,500,14,positive
14,2,500,14,negative
14,2,500,14,negative
2,2,500,33,negative
11,3,750,23,negative
14,8,2000,46,negative
9,1,250,9,negative
16,5,1250,27,negative
14,4,1000,26,negative
4,2,500,30,negative
14,3,750,21,negative
16,16,4000,77,negative
4,2,500,31,negative
14,8,2000,50,negative
11,3,750,26,negative
14,7,1750,45,negative
15,5,1250,33,negative
16,2,500,16,negative
16,3,750,21,negative
11,8,2000,72,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,negative
11,1,250,11,positive
11,1,250,11,negative
2,3,750,75,positive
2,3,750,77,negative
16,4,1000,28,negative
16,15,3750,87,negative
16,14,3500,83,negative
16,10,2500,62,negative
16,3,750,23,negative
14,3,750,26,negative
23,19,4750,62,negative
11,7,1750,75,negative
14,3,750,28,negative
20,14,3500,69,positive
4,2,500,46,negative
11,2,500,25,negative
11,3,750,37,negative
16,4,1000,33,negative
21,7,1750,38,negative
13,7,1750,76,negative
16,6,1500,50,negative
14,3,750,33,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
14,1,250,14,negative
17,7,1750,58,positive
14,3,750,35,negative
14,3,750,35,negative
16,7,1750,64,negative
21,2,500,21,negative
16,3,750,35,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
16,1,250,16,negative
14,2,500,29,negative
11,4,1000,74,negative
11,2,500,38,positive
21,6,1500,48,negative
23,2,500,23,negative
23,6,1500,45,negative
14,2,500,35,positive
16,6,1500,81,negative
16,4,1000,58,negative
16,5,1250,71,negative
21,2,500,26,negative
21,3,750,35,negative
21,3,750,35,negative
23,8,2000,69,negative
21,3,750,38,negative
23,3,750,35,negative
21,3,750,40,negative
23,2,500,28,negative
21,1,250,21,negative
21,1,250,21,negative
25,6,1500,50,negative
21,1,250,21,negative
21,1,250,21,negative
23,3,750,39,negative
21,2,500,33,negative
14,3,750,79,negative
23,1,250,23,positive
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,1,250,23,negative
23,4,1000,52,negative
23,1,250,23,negative
23,7,1750,88,negative
16,3,750,86,negative
23,2,500,38,negative
21,2,500,52,negative
23,3,750,62,negative
39,1,250,39,negative
72,1,250,72,negative
