@relation led7digit-0-2-4-5-6-7-8-9_vs_1
@attribute Led1 numeric
@attribute Led2 numeric
@attribute Led3 numeric
@attribute Led4 numeric
@attribute Led5 numeric
@attribute Led6 numeric
@attribute Led7 numeric
@attribute number {positive,negative}


@data
1.0,1.0,1.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,1.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,1.0,1.0,0.0,negative
0.0,1.0,1.0,0.0,1.0,1.0,0.0,negative
1.0,1.0,1.0,0.0,1.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,1.0,1.0,1.0,negative
0.0,0.0,1.0,0.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,0.0,0.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,0.0,0.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,0.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
0.0,0.0,0.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,0.0,1.0,0.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,0.0,1.0,0.0,0.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
0.0,0.0,0.0,1.0,1.0,0.0,0.0,negative
1.0,0.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
0.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,0.0,0.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,0.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,0.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,0.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,0.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,0.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,0.0,1.0,negative
0.0,0.0,1.0,1.0,1.0,0.0,0.0,negative
1.0,0.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,0.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,0.0,0.0,negative
0.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
0.0,0.0,1.0,1.0,1.0,0.0,1.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
0.0,0.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,0.0,0.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
0.0,0.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,1.0,0.0,0.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,0.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
0.0,1.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,0.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,0.0,0.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,0.0,negative
1.0,0.0,0.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,0.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,0.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,0.0,0.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,1.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,0.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,0.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,0.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,1.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,0.0,negative
1.0,1.0,0.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,0.0,negative
1.0,0.0,0.0,0.0,0.0,0.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,1.0,1.0,0.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,0.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,0.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,1.0,1.0,1.0,negative
0.0,0.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,0.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,1.0,1.0,0.0,negative
1.0,0.0,0.0,0.0,0.0,0.0,0.0,negative
1.0,0.0,0.0,0.0,0.0,1.0,1.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,1.0,0.0,0.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,0.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,1.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,0.0,0.0,1.0,0.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,0.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,1.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,1.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,0.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,1.0,1.0,1.0,negative
0.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,0.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,0.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,0.0,1.0,0.0,0.0,1.0,1.0,negative
1.0,1.0,0.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,0.0,0.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
1.0,1.0,1.0,1.0,0.0,1.0,1.0,negative
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,1.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
1.0,0.0,1.0,1.0,1.0,0.0,0.0,positive
0.0,0.0,0.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
1.0,0.0,0.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,0.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,1.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,1.0,1.0,0.0,positive
0.0,0.0,0.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
1.0,0.0,1.0,1.0,0.0,1.0,0.0,positive
0.0,0.0,0.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,1.0,1.0,0.0,positive
0.0,0.0,0.0,0.0,0.0,1.0,1.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
1.0,0.0,1.0,0.0,0.0,1.0,1.0,positive
0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,1.0,positive
0.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
1.0,0.0,1.0,0.0,0.0,1.0,0.0,positive
